label,count,entity,value_type,normalized,note
Customer Support Email yêu cầu hỗ trợ,1,,EMAIL,customer support email yeu cau ho tro,below_threshold
Các Hỗ trợ Email Địa chỉ,1,,EMAIL,cac ho tro email đia chi,below_threshold
Công ty Dịch vụ Email,1,,EMAIL,cong ty dich vu email,below_threshold
Công ty hỗ trợ Email Address,1,,EMAIL,cong ty ho tro email address,below_threshold
Công ty hủy bỏ địa chỉ email,1,,EMAIL,cong ty huy bo đia chi email,below_threshold
Công ty tiền gửi địa chỉ email,1,,EMAIL,cong ty tien gui đia chi email,below_threshold
Công ty vay Email,1,,EMAIL,cong ty vay email,below_threshold
Công ty đặt cọc email địa chỉ,1,,EMAIL,cong ty đat coc email đia chi,below_threshold
Công ty địa chỉ email,1,,EMAIL,cong ty đia chi email,below_threshold
Công ty ảo địa chỉ email,1,,EMAIL,cong ty ao đia chi email,below_threshold
Email Address Support,1,,EMAIL,email address support,below_threshold
Email Hỗ trợ,1,,EMAIL,email ho tro,below_threshold
Email Inbox hoặc Spam Folder,1,,EMAIL,email inbox hoac spam folder,below_threshold
Hiện dịch email,1,,EMAIL,hien dich email,below_threshold
Hiện ích tài chính Địa chỉ Email,1,,EMAIL,hien ich tai chinh đia chi email,below_threshold
Hãy email,1,,EMAIL,hay email,below_threshold
Học toán địa chỉ email,1,,EMAIL,hoc toan đia chi email,below_threshold
Hộp email đăng ký,1,,EMAIL,hop email đang ky,below_threshold
Loan Assistance Email,1,,EMAIL,loan assistance email,below_threshold
Loan Cancellation Email,1,,EMAIL,loan cancellation email,below_threshold
Loan Customer Support Email Address,1,,EMAIL,loan customer support email address,below_threshold
Loan Dịch vụ Email Address,1,,EMAIL,loan dich vu email address,below_threshold
Loan Hỗ trợ Khách hàng Địa chỉ Email,1,,EMAIL,loan ho tro khach hang đia chi email,below_threshold
Loan Hỗ trợ khách hàng Email Địa chỉ,1,,EMAIL,loan ho tro khach hang email đia chi,below_threshold
Loan Hỗ trợ Địa chỉ Email,1,,EMAIL,loan ho tro đia chi email,below_threshold
Loan Hủy bỏ địa chỉ email,1,,EMAIL,loan huy bo đia chi email,below_threshold
Loan Hủy khoản vay địa chỉ email,1,,EMAIL,loan huy khoan vay đia chi email,below_threshold
Loan Nhóm Hỗ trợ Khách hàng Địa chỉ Email,1,,EMAIL,loan nhom ho tro khach hang đia chi email,below_threshold
Loan bộ phận Email Address,1,,EMAIL,loan bo phan email address,below_threshold
Mortgage Assistance Address Email,1,,EMAIL,mortgage assistance address email,below_threshold
Mortgage Customer Service Email,1,,EMAIL,mortgage customer service email,below_threshold
Mortgage Email Address,1,,EMAIL,mortgage email address,below_threshold
Mortgage Email Services,1,,EMAIL,mortgage email services,below_threshold
Mortgage Hỗ trợ Email Address,1,,EMAIL,mortgage ho tro email address,below_threshold
Mortgage Hủy bỏ Email Address,1,,EMAIL,mortgage huy bo email address,below_threshold
Mortgage Hủy bỏ số điện thoại của bộ phận Email,1,,EMAIL,mortgage huy bo so đien thoai cua bo phan email,below_threshold
Mortgage Hủy bỏ địa chỉ email,1,,EMAIL,mortgage huy bo đia chi email,below_threshold
Sport Email Address,1,,EMAIL,sport email address,below_threshold
Thông tin email của khách hàng,1,,EMAIL,thong tin email cua khach hang,below_threshold
Tin tức dịch vụ email,1,,EMAIL,tin tuc dich vu email,below_threshold
Trang web hỗ trợ khách hàng Email,1,,EMAIL,trang web ho tro khach hang email,below_threshold
Tên số email hỗ trợ khách hàng,1,,EMAIL,ten so email ho tro khach hang,below_threshold
Tập dịch vụ khách hàng Email,1,,EMAIL,tap dich vu khach hang email,below_threshold
Tập nhật địa chỉ email,1,,EMAIL,tap nhat đia chi email,below_threshold
customer_service_email,1,,EMAIL,customer service email,below_threshold
email tài khoản,1,,EMAIL,email account,below_threshold
tên email,1,,EMAIL,ten email,below_threshold
Điều Email Hỗ trợ khách hàng,1,,EMAIL,đieu email ho tro khach hang,below_threshold
Điều Email của tài khoản,1,,EMAIL,đieu email cua account,below_threshold
Điều Email đăng ký,1,,EMAIL,đieu email đang ky,below_threshold
Điều dịch vụ khách hàng Email,1,,EMAIL,đieu dich vu khach hang email,below_threshold
Điều email của dịch vụ khách hàng,1,,EMAIL,đieu email cua dich vu khach hang,below_threshold
Điều email của họ,1,,EMAIL,đieu email cua ho,below_threshold
Điều email của tài khoản,1,,EMAIL,đieu email cua account,below_threshold
Điều email dịch vụ khách hàng của bạn,1,,EMAIL,đieu email dich vu khach hang cua ban,below_threshold
Điều email hỗ trợ khách hàng của bạn,1,,EMAIL,đieu email ho tro khach hang cua ban,below_threshold
Điều email tài khoản,1,,EMAIL,đieu email account,below_threshold
Điều hỗ trợ khách hàng Email Address,1,,EMAIL,đieu ho tro khach hang email address,below_threshold
Điều hỗ trợ khách hàng Email Địa chỉ,1,,EMAIL,đieu ho tro khach hang email đia chi,below_threshold
Điều khoản hỗ trợ khách hàng Email,1,,EMAIL,đieu khoan ho tro khach hang email,below_threshold
Điều kiện hỗ trợ khách hàng Email,1,,EMAIL,đieu kien ho tro khach hang email,below_threshold
Điều điện thoại hỗ trợ khách hàng Email,1,,EMAIL,đieu đien thoai ho tro khach hang email,below_threshold
Điều đơn Email,1,,EMAIL,đieu đon email,below_threshold
Điều địa chỉ Email Tài khoản,1,,EMAIL,đieu đia chi email account,below_threshold
Điểm Email Hỗ trợ Khách hàng,1,,EMAIL,điem email ho tro khach hang,below_threshold
Điểm email,1,,EMAIL,điem email,below_threshold
Điểm email hủy bỏ khoản vay,1,,EMAIL,điem email huy bo khoan vay,below_threshold
Điểm hỗ trợ khách hàng Email Địa chỉ,1,,EMAIL,điem ho tro khach hang email đia chi,below_threshold
Điểm hủy bỏ Email,1,,EMAIL,điem huy bo email,below_threshold
Điện Email Tài khoản,1,,EMAIL,đien email account,below_threshold
Điện Email Đăng ký,1,,EMAIL,đien email đang ky,below_threshold
Điện email đăng ký với tài khoản,1,,EMAIL,đien email đang ky voi account,below_threshold
Đại giao ảo địa chỉ email,1,,EMAIL,đai giao ao đia chi email,below_threshold
Đại phòng hủy bỏ email,1,,EMAIL,đai phong huy bo email,below_threshold
Đặt email dịch vụ khách hàng,1,,EMAIL,đat email dich vu khach hang,below_threshold
Đặt email hỗ trợ khách hàng,1,,EMAIL,đat email ho tro khach hang,below_threshold
Đặt hàng hỗ trợ email,1,,EMAIL,đat hang ho tro email,below_threshold
Đặt hủy dịch vụ email,1,,EMAIL,đat huy dich vu email,below_threshold
Địa chỉ Email,1,,EMAIL,đia chi email,below_threshold
Địa chỉ email,1,,EMAIL,đia chi email,below_threshold
Đội Hỗ trợ Email Địa chỉ,1,,EMAIL,đoi ho tro email đia chi,below_threshold
Đội hỗ trợ email,1,,EMAIL,đoi ho tro email,below_threshold
địa chỉ email đăng ký,1,,EMAIL,đia chi email đang ky,below_threshold
Customer Support Working Hours,1091,,HOURS,customer support hours,below_threshold
Customer Support Work Hours,319,,HOURS,customer support work hours,below_threshold
Customer Service Working Hours,109,,HOURS,customer service hours,below_threshold
Customer Support Hours,64,,HOURS,customer support hours,below_threshold
Customer Service Hours,15,,HOURS,customer service hours,below_threshold
Working Hours,13,,HOURS,hours,below_threshold
Customer Service Work Hours,7,,HOURS,customer service work hours,below_threshold
Opening Hours,7,,HOURS,hours,below_threshold
Công ty Hỗ trợ Thời gian làm việc,6,,HOURS,cong ty ho tro hours,below_threshold
Điều hỗ trợ khách hàng giờ làm việc,6,,HOURS,đieu ho tro khach hang hours,below_threshold
Customer Working Hours,5,,HOURS,customer hours,below_threshold
Customer Work Hours,4,,HOURS,customer work hours,below_threshold
Điều điện thoại Hỗ trợ khách hàng Working Hours,4,,HOURS,đieu đien thoai ho tro khach hang hours,below_threshold
Điều giờ làm việc hỗ trợ khách hàng,3,,HOURS,đieu hours ho tro khach hang,below_threshold
Điều hỗ trợ khách hàng Thời gian làm việc,3,,HOURS,đieu ho tro khach hang hours,below_threshold
Business Hours,2,,HOURS,business hours,below_threshold
Contact Work Hours,2,,HOURS,contact work hours,below_threshold
Credit Support Working Hours,2,,HOURS,credit support hours,below_threshold
Customer Hỗ trợ Hours,2,,HOURS,customer ho tro hours,below_threshold
Công ty hỗ trợ giờ làm việc,2,,HOURS,cong ty ho tro hours,below_threshold
Mortgage Cancellation Work Hours,2,,HOURS,mortgage cancellation work hours,below_threshold
Mortgage Support Work Hours,2,,HOURS,mortgage support work hours,below_threshold
Ngân hàng Hỗ trợ Khách hàng Thời gian làm việc,2,,HOURS,ngan hang ho tro khach hang hours,below_threshold
Điều hỗ trợ khách hàng Working Hours,2,,HOURS,đieu ho tro khach hang hours,below_threshold
Điều điện thoại Dịch vụ khách hàng Working Hours,2,,HOURS,đieu đien thoai dich vu khach hang hours,below_threshold
AMEX Hỗ trợ Khách hàng Thời gian làm việc,1,AMEX,HOURS,amex ho tro khach hang hours,below_threshold
AMEX Hỗ trợ khách hàng Thời gian làm việc,1,AMEX,HOURS,amex ho tro khach hang hours,below_threshold
American Express Hỗ trợ khách hàng Thời gian làm việc,1,AMERICAN_EXPRESS,HOURS,american express ho tro khach hang hours,below_threshold
Availability Hours,1,,HOURS,availability hours,below_threshold
Bank Customer Support Working Hours,1,,HOURS,bank customer support hours,below_threshold
Branch Open Hours,1,,HOURS,branch open hours,below_threshold
Branch Operating Hours,1,,HOURS,branch operating hours,below_threshold
Branch Working Hours,1,,HOURS,branch hours,below_threshold
Card Services Working Hours,1,,HOURS,card services hours,below_threshold
Client Service Working Hours,1,,HOURS,client service hours,below_threshold
Contact Support Work Hours,1,,HOURS,contact support work hours,below_threshold
Credit Card Activated Working Hours,1,,HOURS,credit card activated hours,below_threshold
Custom Support Hours,1,,HOURS,custom support hours,below_threshold
Customer Hours hỗ trợ.,1,,HOURS,customer hours ho tro.,below_threshold
Customer Support Operating Hours,1,,HOURS,customer support operating hours,below_threshold
Customer Working Hours và Supporting,1,,HOURS,customer hours va supporting,below_threshold
Các giờ làm việc hỗ trợ khách hàng,1,,HOURS,cac hours ho tro khach hang,below_threshold
Các khoản hỗ trợ khách hàng Work Hours,1,,HOURS,cac khoan ho tro khach hang work hours,below_threshold
Các khoản hỗ trợ khách hàng giờ làm việc,1,,HOURS,cac khoan ho tro khach hang hours,below_threshold
Công ty Hỗ trợ Hours,1,,HOURS,cong ty ho tro hours,below_threshold
Công ty Hỗ trợ Hours Mobile app,1,,HOURS,cong ty ho tro hours mobile app,below_threshold
Công ty Hỗ trợ với các giờ làm việc,1,,HOURS,cong ty ho tro voi cac hours,below_threshold
Công ty hỗ trợ Hours,1,,HOURS,cong ty ho tro hours,below_threshold
Công ty hỗ trợ Hours Work,1,,HOURS,cong ty ho tro hours work,below_threshold
Dịch vụ Khách hàng Hours,1,,HOURS,dich vu khach hang hours,below_threshold
Giờ làm việc hỗ trợ khách hàng,1,,HOURS,hours ho tro khach hang,below_threshold
Hiện hỗ trợ khách hàng Working Hours,1,,HOURS,hien ho tro khach hang hours,below_threshold
Hiện khoản Hỗ trợ Khách hàng Work Hours,1,,HOURS,hien khoan ho tro khach hang work hours,below_threshold
Hiện khoản hỗ trợ khách hàng Working Hours,1,,HOURS,hien khoan ho tro khach hang hours,below_threshold
Hiện ích hỗ trợ khách hàng Work Hours,1,,HOURS,hien ich ho tro khach hang work hours,below_threshold
Hiện ích hỗ trợ khách hàng Working Hours,1,,HOURS,hien ich ho tro khach hang hours,below_threshold
Hình chuyển khoản hỗ trợ khách hàng Work Hours,1,,HOURS,hinh chuyen khoan ho tro khach hang work hours,below_threshold
Hộp đơn hỗ trợ khách hàng Work Hours,1,,HOURS,hop đon ho tro khach hang work hours,below_threshold
Loan Cancellation Department Work Hours,1,,HOURS,loan cancellation department work hours,below_threshold
Loan Cancellation Work Hours,1,,HOURS,loan cancellation work hours,below_threshold
Loan Department Working Hours,1,,HOURS,loan department hours,below_threshold
Loan Support Working Hours,1,,HOURS,loan support hours,below_threshold
Mortgage Assistance Work Hours,1,,HOURS,mortgage assistance work hours,below_threshold
Mortgage Assistance Working Hours,1,,HOURS,mortgage assistance hours,below_threshold
Mortgage Cancellation Department Work Hours,1,,HOURS,mortgage cancellation department work hours,below_threshold
Mortgage Cancellation Working Hours,1,,HOURS,mortgage cancellation hours,below_threshold
Mortgage Department Work Hours,1,,HOURS,mortgage department work hours,below_threshold
Mortgage Hủy bỏ giờ làm việc,1,,HOURS,mortgage huy bo hours,below_threshold
Mortgage bộ phận giờ làm việc,1,,HOURS,mortgage bo phan hours,below_threshold
My Amex Dịch vụ Khách hàng Hours,1,AMEX,HOURS,my amex dich vu khach hang hours,below_threshold
Nhà hỗ trợ khách hàng giờ làm việc,1,,HOURS,nha ho tro khach hang hours,below_threshold
Thông tin hỗ trợ khách hàng Working Hours,1,,HOURS,thong tin ho tro khach hang hours,below_threshold
Trang Hỗ trợ Khách hàng Working Hours,1,,HOURS,trang ho tro khach hang hours,below_threshold
Trang hỗ trợ khách hàng Working Hours,1,,HOURS,trang ho tro khach hang hours,below_threshold
Tuyền hỗ trợ khách hàng Working Hours,1,,HOURS,tuyen ho tro khach hang hours,below_threshold
Tài giờ làm việc,1,,HOURS,tai hours,below_threshold
Tài hỗ trợ khách hàng Work Hours,1,,HOURS,tai ho tro khach hang work hours,below_threshold
Tài khoản hỗ trợ khách hàng Working Hours,1,,HOURS,account ho tro khach hang hours,below_threshold
Tài điện thoại Hỗ trợ Khách hàng Work Hours,1,,HOURS,tai đien thoai ho tro khach hang work hours,below_threshold
Tài điện thoại hỗ trợ khách hàng Working Hours,1,,HOURS,tai đien thoai ho tro khach hang hours,below_threshold
Tính khoản hỗ trợ khách hàng Work Hours,1,,HOURS,tinh khoan ho tro khach hang work hours,below_threshold
Tăng cường điện thoại giờ làm việc,1,,HOURS,tang cuong đien thoai hours,below_threshold
hỗ trợ khách hàng Work Hours,1,,HOURS,ho tro khach hang work hours,below_threshold
Điều Hỗ trợ Khách hàng Working Hours,1,,HOURS,đieu ho tro khach hang hours,below_threshold
Điều giờ làm việc Hỗ trợ Khách hàng,1,,HOURS,đieu hours ho tro khach hang,below_threshold
Điều hỗ trợ Khách hàng Hours Working,1,,HOURS,đieu ho tro khach hang hours working,below_threshold
Điều hỗ trợ khách hàng Work Hours,1,,HOURS,đieu ho tro khach hang work hours,below_threshold
Điều khoản hỗ trợ khách hàng Working Hours,1,,HOURS,đieu khoan ho tro khach hang hours,below_threshold
Điều kiện hỗ trợ khách hàng Work Hours,1,,HOURS,đieu kien ho tro khach hang work hours,below_threshold
Điều điện thoại hỗ trợ khách hàng Working Hours,1,,HOURS,đieu đien thoai ho tro khach hang hours,below_threshold
Điểm hỗ trợ khách hàng Work Hours,1,,HOURS,điem ho tro khach hang work hours,below_threshold
Điểm hỗ trợ khách hàng giờ làm việc,1,,HOURS,điem ho tro khach hang hours,below_threshold
Đội hỗ trợ khách hàng giờ làm việc,1,,HOURS,đoi ho tro khach hang hours,below_threshold
Customer Support Phone Number,4950,,PHONE,customer support phone number,below_threshold
Customer Service Phone Number,423,,PHONE,customer service phone number,below_threshold
Customer Phone Support Number,109,,PHONE,customer phone support number,below_threshold
Customer Phone Number,104,,PHONE,customer phone number,below_threshold
Customer Support Phone Number.,66,,PHONE,customer support phone number.,below_threshold
Mortgage Support Phone Number,24,,PHONE,mortgage support phone number,below_threshold
Mortgage Cancellation Phone Number,18,,PHONE,mortgage cancellation phone number,below_threshold
Credit Card Phone Number,17,,PHONE,credit card phone number,below_threshold
Bank Customer Support Phone Number,15,,PHONE,bank customer support phone number,below_threshold
Custom Phone,15,,PHONE,custom phone,below_threshold
Bank Customer Service Phone Number,14,,PHONE,bank customer service phone number,below_threshold
Customer Phone Support,13,,PHONE,customer phone support,below_threshold
Credit Card Support Phone Number,9,,PHONE,credit card support phone number,below_threshold
Credit Support Phone Number,9,,PHONE,credit support phone number,below_threshold
Custom Phone Number,8,,PHONE,custom phone number,below_threshold
Custom Phone Support,7,,PHONE,custom phone support,below_threshold
Loan Department Phone Number,7,,PHONE,loan department phone number,below_threshold
Mortgage Assistance Phone Number,7,,PHONE,mortgage assistance phone number,below_threshold
Customer Phone,6,,PHONE,customer phone,below_threshold
Loan Cancellation Phone Number,6,,PHONE,loan cancellation phone number,below_threshold
Phone,4,,PHONE,phone,below_threshold
Card Services Phone Number,3,,PHONE,card services phone number,below_threshold
Loan Assistance Phone Number,3,,PHONE,loan assistance phone number,below_threshold
24/7 Hỗ trợ khách hàng Hotline,2,,PHONE,24 7 ho tro khach hang phone,below_threshold
Activation Hotline Number,2,,PHONE,activation phone number,below_threshold
American Express Customer Service Phone Number,2,AMERICAN_EXPRESS,PHONE,american express customer service phone number,below_threshold
American Express Customer Support Phone Number,2,AMERICAN_EXPRESS,PHONE,american express customer support phone number,below_threshold
American Express Phone Number,2,AMERICAN_EXPRESS,PHONE,american express phone number,below_threshold
Automated Phone System Number,2,,PHONE,automated phone system number,below_threshold
Bank Support Phone Number,2,,PHONE,bank support phone number,below_threshold
Branch Support Phone Number,2,,PHONE,branch support phone number,below_threshold
Cancellation Phone Number,2,,PHONE,cancellation phone number,below_threshold
Customer Service Hotline,2,,PHONE,customer service phone,below_threshold
Mortgage Department Phone Number,2,,PHONE,mortgage department phone number,below_threshold
Mortgage Lender Phone Number,2,,PHONE,mortgage lender phone number,below_threshold
Support Phone Number,2,,PHONE,support phone number,below_threshold
Telephone Number,2,,PHONE,phone number,below_threshold
Telephone Support Working Hours,2,,PHONE,phone support hours,below_threshold
Visa Customer Support Phone Number,2,VISA,PHONE,visa customer support phone number,below_threshold
ATM Support Phone Number,1,,PHONE,atm support phone number,below_threshold
Activation Phone Number,1,,PHONE,activation phone number,below_threshold
American Express Lost/Stolen Card Phone Number,1,AMERICAN_EXPRESS,PHONE,american express lost stolen card phone number,below_threshold
American Express Phone Support Number,1,AMERICAN_EXPRESS,PHONE,american express phone support number,below_threshold
Bank Activation Phone Number,1,,PHONE,bank activation phone number,below_threshold
Bank Cancellation Hotline,1,,PHONE,bank cancellation phone,below_threshold
Bank Hotline,1,,PHONE,bank phone,below_threshold
Bank Hotline Number,1,,PHONE,bank phone number,below_threshold
Bank International Activation Hotline,1,,PHONE,bank international activation phone,below_threshold
Bank Phone Number,1,,PHONE,bank phone number,below_threshold
C Phone Support,1,,PHONE,c phone support,below_threshold
Card Issuer Phone Number,1,,PHONE,card issuer phone number,below_threshold
Card Protection Phone Number,1,,PHONE,card protection phone number,below_threshold
Card Support Phone Number,1,,PHONE,card support phone number,below_threshold
Client Service Phone Number,1,,PHONE,client service phone number,below_threshold
Conta Summary Phone Number,1,,PHONE,conta summary phone number,below_threshold
Contact Phone Number,1,,PHONE,contact phone number,below_threshold
Credit Card Activation Phone Number,1,,PHONE,credit card activation phone number,below_threshold
Credit Card Issuer Support Phone Number,1,,PHONE,credit card issuer support phone number,below_threshold
Credit Express Support Phone Number,1,,PHONE,credit express support phone number,below_threshold
Credit Hotline Number,1,,PHONE,credit phone number,below_threshold
Credit Hotline Working Hours,1,,PHONE,credit phone hours,below_threshold
Credit Phone Number,1,,PHONE,credit phone number,below_threshold
Customer Express Phone Number.,1,,PHONE,customer express phone number.,below_threshold
Customer Phone Number trong quá trình hỗ trợ của chúng tôi,1,,PHONE,customer phone number trong qua trinh ho tro cua chung toi,below_threshold
Customer Phone's Support Number,1,,PHONE,customer phone s support number,below_threshold
Customer Service Hotline Number,1,,PHONE,customer service phone number,below_threshold
Customer Support Phone Action Number,1,,PHONE,customer support phone action number,below_threshold
Customer Support Phone Line,1,,PHONE,customer support phone line,below_threshold
Emergency Hotline,1,,PHONE,emergency phone,below_threshold
Fraud Hotline Number,1,,PHONE,fraud phone number,below_threshold
Hotline Number,1,,PHONE,phone number,below_threshold
International Customer Support Phone Number,1,,PHONE,international customer support phone number,below_threshold
International Support Phone Number,1,,PHONE,international support phone number,below_threshold
Lender's Phone Number,1,,PHONE,lender s phone number,below_threshold
Loan Provider Phone Number,1,,PHONE,loan provider phone number,below_threshold
Lost Card Phone Number,1,,PHONE,lost card phone number,below_threshold
Mortgage Customer Service Phone Number,1,,PHONE,mortgage customer service phone number,below_threshold
Mortgage Phone Number,1,,PHONE,mortgage phone number,below_threshold
Mortgage Services Phone Number,1,,PHONE,mortgage services phone number,below_threshold
Phone Call,1,,PHONE,phone call,below_threshold
Telephone,1,,PHONE,phone,below_threshold
Telephone Banking Number,1,,PHONE,phone banking number,below_threshold
Telephone Support Number,1,,PHONE,phone support number,below_threshold
Telephone dịch vụ khách hàng,1,,PHONE,phone dich vu khach hang,below_threshold
Telephone số dịch vụ khách hàng,1,,PHONE,phone so dich vu khach hang,below_threshold
phone,1,,PHONE,phone,below_threshold
Credit Card,4316,,TEXT,credit card,below_threshold
Name,706,,TEXT,name,below_threshold
Customer Support Team,584,,TEXT,customer support team,below_threshold
Password,382,,TEXT,password,below_threshold
Banking App,177,,TEXT,banking app,below_threshold
Điều tài khoản,168,,TEXT,đieu account,below_threshold
Loan Tài khoản số,167,,TEXT,loan account so,below_threshold
Điều mật khẩu,154,,TEXT,đieu password,below_threshold
Customer Support,153,,TEXT,customer support,below_threshold
Bank Name,145,,TEXT,bank name,below_threshold
Cài đặt tài khoản,145,,TEXT,cai đat account,below_threshold
Bank App,143,,TEXT,bank app,below_threshold
Profile,140,,TEXT,profile,below_threshold
Nhạc máy chủ,136,,TEXT,nhac may chu,below_threshold
Live Chat,134,,TEXT,live chat,below_threshold
Billing,98,,TEXT,billing,below_threshold
Tên đầy đủ,92,,TEXT,ten đay đu,below_threshold
Điều điện thoại hỗ trợ khách hàng,91,,TEXT,đieu đien thoai ho tro khach hang,below_threshold
Account,86,,TEXT,account,below_threshold
Mortgage Account,78,,TEXT,mortgage account,below_threshold
Nhà người dùng,78,,TEXT,nha nguoi dung,below_threshold
Nhạc người dùng,74,,TEXT,nhac nguoi dung,below_threshold
Customer Support Number,66,,TEXT,customer support number,below_threshold
Trang web của công ty,61,,TEXT,trang web cua cong ty,below_threshold
App Store,59,,TEXT,appstore,below_threshold
Google Play Store,56,,TEXT,playstore store,below_threshold
Điều đặt hàng,56,,TEXT,đieu đat hang,below_threshold
Cài đặt Tài khoản,55,,TEXT,cai đat account,below_threshold
Nhạc ngân hàng,55,,TEXT,nhac ngan hang,below_threshold
Full Name,50,,TEXT,full name,below_threshold
Payments,49,,TEXT,payments,below_threshold
Fees,48,,TEXT,fee,below_threshold
Close Account,45,,TEXT,close account,below_threshold
Card Management,44,,TEXT,card management,below_threshold
Contact Us,44,,TEXT,contact us,below_threshold
Mortgage Tài khoản Số,41,,TEXT,mortgage account so,below_threshold
